module,category,total_bugs,severity_weighted_total,critical_count,major_count,normal_count,minor_count,edf_count,ux_count,mx_count,mui_count,side_effect_count,at_found_count,function_count,stability_count,performance_count,regression_count,crash_count,anr_count,ui_count,localization_count,iap_count,regression_rate,automation_catch_rate,avg_repro_rate,median_repro_rate,avg_days_to_close,median_days_to_close,avg_builds_to_fix,median_builds_to_fix,open_count,closed_count,postpone_count,unique_reporters,probability_score_auto,impact_score,detectability_score,risk_score_final,quadrant,parsed_module,scoring_method,ai_reasoning
AI Effect(Tempo Effect),AI Features,6,30,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,11.75,8.0,0.0,0.0,0.0,0.0,0.0,1,5,5,2,50,Q3 - Test Second,AI Effect(Tempo Effect),ollama,"The AI Effect(Tempo Effect) module has a high impact on the overall system, but its potential issues may be difficult to detect due to the AI-driven nature of the feature."
My Cloud,Cloud,44,193,0,35,9,0,0,4,0,5,2,0,0,0,0,0,0,0,5,0,0,0.0455,0.0,0.5,0.5,12.857142857142858,4.0,0.0,0.0,0.0,0.0,0.0,5,5,5,2,50,Q3 - Test Second,My Cloud,ollama,"High impact due to large number of critical bugs, but low detectability due to low automation catch rate"
Credits,UI & Settings,4,14,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.0,0.0,0.5,0.5,1.75,1.0,0.0,0.0,0.0,0.0,0.0,1,5,2,5,50,Q3 - Test Second,Credits,ollama,"Moderate impact due to UI & Settings category, but high detectability due to automation catch rate being 0.000"
Shortcut(AI Anime Video)[RUS],AI Features,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1,2,5,5,50,Q3 - Test Second,Shortcut(AI Anime Video)[RUS],ollama,"This module is critical to the application's functionality, and its regression could have significant consequences. High detectability due to high automation catch rate."
Preview(Split),Export & Output,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,13.0,13.0,0.0,0.0,0.0,0.0,0.0,1,2,5,5,50,Q3 - Test Second,Preview(Split),ollama,Potential data loss due to incorrect export or output formatting
AI Storytelling(Demo Page),AI Features,4,20,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,6.75,5.0,0.0,0.0,0.0,0.0,0.0,1,5,5,2,50,Q3 - Test Second,AI Storytelling(Demo Page),ollama,"High impact due to major bugs in AI storytelling demo page, moderate detectability as not all bugs may be immediately noticeable."
Auto Caption(Captions List),Text & Captions,6,27,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,90.2,20.0,0.0,0.0,0.0,0.0,0.0,1,5,5,2,50,Q3 - Test Second,Auto Caption(Captions List),ollama,"High impact due to major bugs in Auto Caption module, but low detectability as regression rate is 0"
Auto Edit(Add Media),Editor Core,6,27,0,5,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,7.833333333333333,6.0,0.0,0.0,0.0,0.0,0.0,1,5,5,2,50,Q3 - Test Second,Auto Edit(Add Media),ollama,"Potential data loss or corruption due to incorrect media editing, which may not be immediately noticeable."
GettyImage Music and Meta,Audio,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,322.0,322.0,0.0,0.0,0.0,0.0,0.0,1,2,5,5,50,Q3 - Test Second,GettyImage Music and Meta,ollama,"Critical bug in Audio module GettyImage Music and Meta, high likelihood of causing significant issues due to its critical nature and lack of automated testing"
Image to Video (Super Dad/Best Dad/3D Space/Blister Box/Pop-Up Pal/Music Box),AI Features,2,10,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,30.0,30.0,0.0,0.0,0.0,0.0,0.0,1,4,3,4,48,Q3 - Test Second,Image to Video (Super Dad/Best Dad/3D Space/Blister Box/Pop-Up Pal/Music Box),ollama,"Potential image to video conversion issues with AI features, including 3D models, animations, and other visual effects, may result in major bugs and affect user experience."
IAP(B/C),IAP,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,7.0,7.0,0.0,0.0,0.0,0.0,1.0,1,4,3,4,48,Q3 - Test Second,IAP(B/C),ollama,High risk of IAP module impacting business functionality due to high number of major bugs and low automation catch rate
ShortCut(AI Anime Video),AI Features,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1,4,3,4,48,Q3 - Test Second,ShortCut(AI Anime Video),ollama,Potential data integrity issues due to AI-driven content suggestions in the ShortCut module may lead to user dissatisfaction and impact the overall user experience.
Menu(Tutorials & Tips),UI & Settings,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,21.0,21.0,0.0,0.0,0.0,0.0,0.0,1,4,4,3,48,Q3 - Test Second,Menu(Tutorials & Tips),ollama,"Major bugs in the Menu(Tutorials & Tips) module, Category: UI & Settings, may affect user experience and functionality, but are not immediately noticeable."
iStock Premium,Media Picker,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1,4,3,4,48,Q3 - Test Second,iStock Premium,ollama,"Media picker functionality not working as expected in iStock Premium module, could lead to loss of media content, moderate impact due to its critical nature"
Text to Image(Recent Task),AI Features,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1,4,3,4,48,Q3 - Test Second,Text to Image(Recent Task),ollama,"The Text to Image module is a critical AI feature with a high impact, but its detectability is moderate due to the complexity of AI-generated images."
Getty Image Premium,Media Picker,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1,4,3,4,48,Q3 - Test Second,Getty Image Premium,ollama,"The Media Picker in Getty Image Premium is a critical feature, but since it's a premium service, the impact of a bug is moderate. However, the detectability is high because users are likely to notice if the image picker is not working correctly."
Meta,Audio,2,10,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,48.0,48.0,0.0,0.0,0.0,0.0,0.0,2,4,3,4,48,Q3 - Test Second,Meta,ollama,High potential for audio metadata corruption due to frequent metadata updates and user interactions.
Shortcut/AI Effect(Tempo Effect),AI Features,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1,4,3,4,48,Q3 - Test Second,Shortcut/AI Effect(Tempo Effect),ollama,"Potential impact on AI feature accuracy and user experience due to Tempo Effect, but high detectability through automated testing and low regression rate."
"IAP, AI Creation",IAP,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,8.0,8.0,0.0,0.0,0.0,0.0,0.0,1,4,3,4,48,Q3 - Test Second,"IAP, AI Creation",ollama,"IAP module is critical to the application's revenue generation. A bug in this module could lead to significant financial losses. While the bug is relatively detectable, the potential impact is high enough to warrant a moderate risk rating."
Motion(In/Out motion),Visual Effects,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1,4,3,4,48,Q3 - Test Second,Motion(In/Out motion),ollama,Potential for incorrect motion detection affecting user experience
Auto Edit(Sport_02_title),Editor Core,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,9.0,9.0,0.0,0.0,0.0,0.0,0.0,1,4,3,4,48,Q3 - Test Second,Auto Edit(Sport_02_title),ollama,"High-impact, difficult to detect bugs in critical module, likely regression risk due to 2 majors with no automation coverage"
Timeline(AI Anime Video),AI Features,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,4,4,3,48,Q3 - Test Second,Timeline(AI Anime Video),ollama,"AI-powered video timeline feature has potential to significantly affect user experience, but may not be immediately noticeable due to lack of human oversight."
Mixpanel(Character Motion Swap),AI Features,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,59.0,59.0,0.0,0.0,0.0,0.0,0.0,1,4,4,3,48,Q3 - Test Second,Mixpanel(Character Motion Swap),ollama,"The Character Motion Swap module is a critical component of the AI Features category, and a bug in this module could lead to a major disruption in the user experience. While the module has a relatively low regression rate and automation catch rate, the potential impact of a bug in this module is still significant, warranting a risk assessment of 4 out of 5 for impact. The detectability of a bug in this module is moderate, at 3 out of 5, due to the complex interactions between the module and other components of the system."
Image to Video (Dance Group),AI Features,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,40.5,40.5,0.0,0.0,0.0,0.0,0.0,1,4,4,3,48,Q3 - Test Second,Image to Video (Dance Group),ollama,"Potential for dance group misidentification or incorrect video generation, moderate impact on user experience and high risk of detection due to automated tests, requires careful review of AI feature output"
Cross Promote,IAP,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,8.0,8.0,0.0,0.0,0.0,0.0,0.0,1,4,4,3,48,Q3 - Test Second,Cross Promote,ollama,"High risk due to high number of Major bugs (2) in Cross Promote module under IAP category, indicating potential critical issues that may have significant impact on user experience."
Recent Projects(Upload to My Cloud),Editor Core,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,4,3,4,48,Q3 - Test Second,Recent Projects(Upload to My Cloud),ollama,"The Recent Projects module is critical as it involves uploading sensitive data to a user's cloud storage. With 2 major bugs and no critical or automated catches, this module has a moderate impact and detectability risk."
Share extension,Export & Output,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,3,4,48,Q3 - Test Second,Share extension,ollama,"Potential data loss or corruption due to incorrect export functionality, which could lead to business disruption and loss of customer trust."
"Text to Image, TTI",AI Features,2,10,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.5,0.5,114.5,114.5,0.0,0.0,0.0,0.0,0.0,1,4,3,4,48,Q3 - Test Second,"Text to Image, TTI",ollama,"Potential for mislabeled or incorrectly generated images could have moderate impact on user experience, but the risk is low due to the small number of reported bugs and low regression rate."
Motion (In/Out motion),Visual Effects,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,3,4,48,Q3 - Test Second,Motion (In/Out motion),ollama,"Potential issues with motion detection could impact visual effects, but are relatively hard to detect."
Transition (Split 43),UI & Settings,2,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,4,4,3,48,Q3 - Test Second,Transition (Split 43),ollama,Major bug with moderate impact in a critical UI & Settings module with low automation coverage
Auto Edit(Range and Trim),Editor Core,2,10,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,9.0,9.0,0.0,0.0,0.0,0.0,0.0,1,4,3,4,48,Q3 - Test Second,Auto Edit(Range and Trim),ollama,"High risk due to high severity of bugs, low automation catch rate, and potential regression issues"
Transition (Split 40),UI & Settings,2,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,4,4,3,48,Q3 - Test Second,Transition (Split 40),ollama,"High risk of user dissatisfaction due to incorrect transitions, moderate effort to detect due to complex UI and settings interactions."
MGT/Neon title,Text & Captions,2,4,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,209.5,209.5,0.0,0.0,0.0,0.0,0.0,1,4,3,4,48,Q3 - Test Second,MGT/Neon title,ollama,"Potential for incorrect captions to be displayed in the MGT/Neon title, affecting user experience."
AI Magic [Character Motion Swap],AI Features,2,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,4,3,4,48,Q3 - Test Second,AI Magic [Character Motion Swap],ollama,"Critical defects may lead to incorrect character motion swap, which can affect the overall user experience and potentially lead to a major bug."
AI Art/AI Scene,AI Features,2,10,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2,4,4,3,48,Q3 - Test Second,AI Art/AI Scene,ollama,Potential inaccuracies in AI-generated art/scene may cause data loss or incorrect conclusions in AI-driven decision making processes.
AI Effect(AI Sketch/AI Scene),AI Features,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,4,3,48,Q3 - Test Second,AI Effect(AI Sketch/AI Scene),ollama,"Potential AI effect issues could impact system reliability and accuracy, but might not be easily detectable due to their subtle nature."
Image to Video (Recent task),AI Features,2,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1,4,4,3,48,Q3 - Test Second,Image to Video (Recent task),ollama,"High impact due to AI feature, relatively low detectability as it's a recent task, but still needs attention due to regression rate and automation catch rate being at 0"
Timeline (Media Picker),Editor Core,2,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1,4,3,4,48,Q3 - Test Second,Timeline (Media Picker),ollama,Potential data loss or corruption due to incorrect media selection in the timeline
AI Audio Tool (AI Denoise),Audio,2,10,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2,4,4,3,48,Q3 - Test Second,AI Audio Tool (AI Denoise),ollama,"Potential audio quality issues in AI Denoise module could impact user experience, but may be challenging to detect without thorough testing and analysis."
AI Storytelling (Media Picker),AI Features,2,7,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,4,3,4,48,Q3 - Test Second,AI Storytelling (Media Picker),ollama,Potential for media mismatch in AI-generated stories may lead to user dissatisfaction.
Video Enhancer(Compare),Enhance & Fix,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,8.0,8.0,0.0,0.0,0.0,0.0,0.0,1,4,4,3,48,Q3 - Test Second,Video Enhancer(Compare),ollama,"Potential regression risk due to major bugs in Video Enhancer module, but detectability is moderate"
Voice-Over Style,Audio,2,10,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,3,4,48,Q3 - Test Second,Voice-Over Style,ollama,"The Voice-Over Style module in the Audio category has a moderate impact (3) because it has 2 major bugs, but no critical bugs, and the regression rate is 0. The detectability is high (4) because the module has a significant number of major bugs, making it likely to be noticed during testing. The reasoning is that while the module has a moderate impact, its high detectability suggests that it will be easily identifiable during testing."
Video/Photo,Media Picker,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,21.5,21.5,0.0,0.0,0.0,0.0,0.0,2,4,3,4,48,Q3 - Test Second,Video/Photo,ollama,Potential data loss or corruption in media picker module could lead to significant business impact due to its critical nature in the application.
Video(Tool Menu),UI & Settings,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,8.0,8.0,0.0,0.0,0.0,0.0,0.0,1,4,4,3,48,Q3 - Test Second,Video(Tool Menu),ollama,"Potential for data corruption or loss due to UI malfunction, difficult to detect due to lack of clear error messages."
AI Creation(Image to Video/ Talking Avatar/ AI Video Enhancer/ AI Video Upscaler/ AI Anime Video/ Super Slow Motion),AI Features,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,14.0,14.0,0.0,0.0,0.0,0.0,0.0,1,4,4,3,48,Q3 - Test Second,AI Creation(Image to Video/ Talking Avatar/ AI Video Enhancer/ AI Video Upscaler/ AI Anime Video/ Super Slow Motion),ollama,"AI Creation module has 2 major bugs, with high impact on AI Features, potentially affecting video quality and functionality. Detection difficulty is moderate due to complex AI algorithms involved."
Auto Edit(Produce),Editor Core,2,10,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2,4,3,4,48,Q3 - Test Second,Auto Edit(Produce),ollama,"The module is responsible for editing and producing, with a high number of major bugs (2), indicating a moderate to high impact on the system. The regression rate and automation catch rate are both 0, suggesting that the bugs may not be easily detectable."
"Text, Title(Cool Effect)",Text & Captions,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1,4,3,4,48,Q3 - Test Second,"Text, Title(Cool Effect)",ollama,Potential display issues with title 'Cool Effect' may impact user experience
Summer Promotion(Interstitial),Visual Effects,2,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,26.5,26.5,0.0,0.0,0.0,0.0,0.0,1,4,3,4,48,Q3 - Test Second,Summer Promotion(Interstitial),ollama,"Visual effects module has a major bug which may affect user experience, but its impact is moderate due to the interstitial nature of the promotion. The detectability is high due to the visual nature of the effects."
Adjust Speed,Editor Core,2,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,7.0,7.0,0.0,0.0,0.0,0.0,0.0,1,4,4,3,48,Q3 - Test Second,Adjust Speed,ollama,Potential for user experience disruption due to incorrect speed adjustment.
AI Music Generator(Recent Task),Audio,2,10,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0.5,0.5,12.5,12.5,0.0,0.0,0.0,0.0,0.0,1,4,3,4,48,Q3 - Test Second,AI Music Generator(Recent Task),ollama,"The AI Music Generator module has a regression rate of 0.5, which indicates a moderate likelihood of defects. As a critical module in the Recent Task category, even a single defect could have a significant impact on the system. However, with only 2 major bugs out of 2 total bugs, the module's stability is a concern. Furthermore, the automation catch rate is 0, indicating that the module may not be properly tested."
Music(Favorite),Audio,3,9,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,14.666666666666666,12.0,0.0,0.0,0.0,0.0,0.0,2,4,3,4,48,Q3 - Test Second,Music(Favorite),ollama,"Regression in favorite music module could lead to data inconsistency, impacting user experience."
AI Storytelling (Settings),AI Features,3,9,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2,4,4,3,48,Q3 - Test Second,AI Storytelling (Settings),ollama,"Potential AI storytelling feature settings configuration errors may impact user experience, but are relatively hard to detect due to the complex nature of AI algorithms and settings."
Media picker(Trim before edit),Media Picker,2,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,28.0,28.0,0.0,0.0,0.0,0.0,0.0,1,4,3,4,48,Q3 - Test Second,Media picker(Trim before edit),ollama,"Critical issues are not present, but major issues may impact user experience and data integrity."
Transition (Split 46),UI & Settings,2,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,4,3,4,48,Q3 - Test Second,Transition (Split 46),ollama,"Potential UI setting changes affecting user experience, but due to low automation catch rate and regression rate, the detectability is relatively low."
Character Motion Swap(Demo Page),AI Features,2,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1,4,3,4,48,Q3 - Test Second,Character Motion Swap(Demo Page),ollama,"Module is AI-related and has a moderate impact on the user experience, but the relatively low regression rate and automation catch rate suggest it may be difficult to identify issues."
Transition (Split 42),UI & Settings,2,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,4,3,4,48,Q3 - Test Second,Transition (Split 42),ollama,Potential for data loss due to incorrect user interface transitions. Detectability is high due to visible changes in UI.
Shortcut(Body Reshape),Enhance & Fix,2,7,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,4,3,4,48,Q3 - Test Second,Shortcut(Body Reshape),ollama,Module Shortcut(Body Reshape) has a Major bug with moderate impact and good detectability
Projext/My Artwork,UI & Settings,2,7,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,147.5,147.5,0.0,0.0,0.0,0.0,0.0,1,4,3,4,48,Q3 - Test Second,Projext/My Artwork,ollama,"High impact due to Major bug, detectability is moderate due to presence of only 1 major bug out of 2 total bugs"
AI Storytelling (General),AI Features,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,3,4,48,Q3 - Test Second,AI Storytelling (General),ollama,The high number of major bugs and relatively low automation catch rate suggest a moderate to high risk of AI storytelling feature impacting user experience.
Auto Caption(Bilingual Subtitles),Text & Captions,2,10,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,5.5,5.5,0.0,0.0,0.0,0.0,0.0,1,4,4,3,48,Q3 - Test Second,Auto Caption(Bilingual Subtitles),ollama,"Major bugs in Auto Caption module can lead to inaccurate bilingual subtitles, affecting user experience and potentially causing misunderstandings. Although automation tools may not be able to catch these issues, they can be detected through manual testing and review of subtitles."
Auto Edit (Travel 02),Editor Core,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,9.0,9.0,0.0,0.0,0.0,0.0,0.0,1,4,4,3,48,Q3 - Test Second,Auto Edit (Travel 02),ollama,"High impact due to high number of critical and major bugs in the Editor Core module, especially in the Auto Edit (Travel 02) module. Detection difficulty is moderate due to low automation catch rate and regression rate."
Auto Edit (Travel_02_title),Editor Core,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,18.5,18.5,0.0,0.0,0.0,0.0,0.0,1,4,3,4,48,Q3 - Test Second,Auto Edit (Travel_02_title),ollama,"Due to the high number of major bugs (2) in the Auto Edit module, we consider the risk to be moderate to high. The module's impact on the overall system is significant, as it is part of the Editor Core category."
Timeline (AI Anime Video),AI Features,2,10,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2,4,3,4,48,Q3 - Test Second,Timeline (AI Anime Video),ollama,"Timeline functionality may be affected by AI errors, potentially causing video playback issues or data corruption, which could lead to loss of user engagement or data integrity."
Timeline (AI Video Upscaler),Editor Core,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,16.5,16.5,0.0,0.0,0.0,0.0,0.0,1,4,4,3,48,Q3 - Test Second,Timeline (AI Video Upscaler),ollama,Regression risk is high due to AI video upscaling in Timeline module; significant impact on Editor Core functionality
AI Storytelling(Editor),AI Features,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1,4,3,4,48,Q3 - Test Second,AI Storytelling(Editor),ollama,"The AI Storytelling Editor has a moderate impact due to its critical role in generating content. However, it's not very detectable, as it relies heavily on AI algorithms, making it challenging to identify potential issues."
Timeline (Filter),Editor Core,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,329.0,329.0,0.0,0.0,0.0,0.0,0.0,1,4,4,3,48,Q3 - Test Second,Timeline (Filter),ollama,"Regression bugs may cause unexpected behavior or data loss in the timeline, but are unlikely to be caught by automated tests due to low complexity."
Transition(Light),UI & Settings,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,4,3,4,48,Q3 - Test Second,Transition(Light),ollama,"The transition from Light module may cause unexpected UI behavior, and the automation catch rate is 0, making it undetectable."
Text(Format/Border/Shadow/Backdrop),Text & Captions,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1,3,4,4,48,Q3 - Test Second,Text(Format/Border/Shadow/Backdrop),ollama,Potential major issue with text formatting and design elements that could impact user experience
"Text, title, MGT (Time Tile 28)",Text & Captions,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,165.0,165.0,0.0,0.0,0.0,0.0,0.0,1,4,4,3,48,Q3 - Test Second,"Text, title, MGT (Time Tile 28)",ollama,"The module 'Text, title, MGT (Time Tile 28)' in the category 'Text & Captions' has 2 major bugs, indicating a moderate to high impact on the system. The low automation catch rate suggests that manual testing is necessary, but the bug count is relatively low, making detectability moderate."
Auto Edit (Pet 03),Editor Core,2,10,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1,4,4,3,48,Q3 - Test Second,Auto Edit (Pet 03),ollama,"High impact due to module being critical to editor core functionality, detectability moderate due to limited testing scope"
Auto Edit (Party_03_title),Editor Core,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,24.0,24.0,1044.0,1044.0,0.0,0.0,0.0,1,4,4,3,48,Q3 - Test Second,Auto Edit (Party_03_title),ollama,High risk due to two major bugs and moderate detectability.
